,Species,Proportion,Component
0,burbot,0.34434594458659296,1.0
1,burbot,0.11475342449834611,2.0
2,burbot,0.055790860011024096,3.0
3,burbot,0.03960028761695721,4.0
4,burbot,0.03933095505909332,5.0
5,burbot,0.032781870943610576,6.0
6,burbot,0.028706535697618125,7.0
7,burbot,0.02570730106819967,8.0
8,burbot,0.022550116907035286,9.0
9,burbot,0.01953641526963386,10.0
0,lakeTrout,0.41651035514273316,1.0
1,lakeTrout,0.11328518803631782,2.0
2,lakeTrout,0.06256978293935703,3.0
3,lakeTrout,0.016989305103816042,4.0
4,lakeTrout,0.015996148751606227,5.0
5,lakeTrout,0.012947880598610748,6.0
6,lakeTrout,0.012219178245205596,7.0
7,lakeTrout,0.011814505855028098,8.0
8,lakeTrout,0.011432056970820588,9.0
9,lakeTrout,0.010125222937992963,10.0
0,lakeWhitefish,0.61731769822815,1.0
1,lakeWhitefish,0.11788628836451755,2.0
2,lakeWhitefish,0.024328301041778383,3.0
3,lakeWhitefish,0.019126667869243358,4.0
4,lakeWhitefish,0.014199322104189468,5.0
5,lakeWhitefish,0.012921372469861,6.0
6,lakeWhitefish,0.011595152501517906,7.0
7,lakeWhitefish,0.010175541708842217,8.0
8,lakeWhitefish,0.009211938929405474,9.0
9,lakeWhitefish,0.008846996275706655,10.0
0,smallmouthBass,0.2729975292312926,1.0
1,smallmouthBass,0.08472650436362858,2.0
2,smallmouthBass,0.0289999298819653,3.0
3,smallmouthBass,0.022162716432387028,4.0
4,smallmouthBass,0.018282572072533233,5.0
5,smallmouthBass,0.016698226436712545,6.0
6,smallmouthBass,0.015859552109076074,7.0
7,smallmouthBass,0.015306346868194431,8.0
8,smallmouthBass,0.014546682626174935,9.0
9,smallmouthBass,0.01364850087419774,10.0
