fishNum,actual,predicted
BUR001,burbot,burbot
BUR002,burbot,burbot
LT001,lakeTrout,burbot
LT002,lakeTrout,burbot
LT003,lakeTrout,burbot
LT004,lakeTrout,burbot
LT005,lakeTrout,burbot
LT006,lakeTrout,burbot
LT007,lakeTrout,burbot
LT008,lakeTrout,laketrout
LT009,lakeTrout,smallmouthBass
LT010,lakeTrout,smallmouthBass
LT011,lakeTrout,lakeWhitefish
LT012,lakeTrout,lakeWhitefish
LT013,lakeTrout,lakeWhitefish
LT014,lakeTrout,smallmouthBass
LT015,lakeTrout,smallmouthBass
LT016,lakeTrout,smallmouthBass
LT017,lakeTrout,smallmouthBass
LT018,lakeTrout,smallmouthBass
LT019,lakeTrout,lakeWhitefish
LT020,lakeTrout,burbot
LT021,lakeTrout,lakeWhitefish
LWF001,lakeWhitefish,burbot
LWF002,lakeWhitefish,burbot
LWF003,lakeWhitefish,burbot
LWF004,lakeWhitefish,smallmouthBass
LWF005,lakeWhitefish,smallmouthBass
LWF006,lakeWhitefish,smallmouthBass
LWF007,lakeWhitefish,lakeWhitefish
LWF009,lakeWhitefish,smallmouthBass
LWF010,lakeWhitefish,lakeWhitefish
LWF011,lakeWhitefish,smallmouthBass
LWF012,lakeWhitefish,lakeWhitefish
LWF013,lakeWhitefish,lakeWhitefish
LWF014,lakeWhitefish,lakeWhitefish
LWF015,lakeWhitefish,lakeWhitefish
SMB001,smallmouthBass,smallmouthBass
SMB002,smallmouthBass,smallmouthBass
SMB003,smallmouthBass,lakeWhitefish
SMB004,smallmouthBass,smallmouthBass
SMB005,smallmouthBass,lakeWhitefish
SMB006,smallmouthBass,lakeWhitefish
SMB007,smallmouthBass,lakeWhitefish
SMB008,smallmouthBass,burbot
SMB009,smallmouthBass,burbot
SMB010,smallmouthBass,smallmouthBass
SMB011,smallmouthBass,lakeWhitefish
SMB012,smallmouthBass,smallmouthBass
SMB013,smallmouthBass,smallmouthBass
